"PVWatts: Hourly PV Performance Data"
"Requested Location:","new york"
"Location:","Lat, Lng: 40.73, -74.02"
"Lat (deg N):","40.73"
"Lng (deg W):","74.02"
"Elev (m):","0"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"7","22","20","0","0","20","3","0","20","0","0"
"7","22","21","0","0","20","3","0","20","0","0"
"7","22","22","0","0","19","3","0","19","0","0"
"7","22","23","0","0","19","3","0","19","0","0"
"7","23","0","0","0","19","3","0","19","0","0"
"7","23","1","0","0","18","2","0","18","0","0"
"7","23","2","0","0","17","2","0","17","0","0"
"7","23","3","0","0","17","2","0","17","0","0"
"7","23","4","0","0","17","2","0","17","0","0"
"7","23","5","313","37","18","2","28.709","16.881","102.433","80.135"
"7","23","6","587","69","20","2","200.44","23.724","568.393","536.261"
"7","23","7","732","86","22","2","420.437","32.136","1315.491","1263.381"
"7","23","8","817","96","24","2","637.027","40.339","1998.982","1924.051"
"7","23","9","867","103","25","2","819.421","46.476","2522.707","2427.35"
"7","23","10","903","103","26","2","955.229","51.244","2876.366","2765.775"
"7","23","11","913","107","26","2","1025.285","53.29","3055.078","2936.347"
"7","23","12","910","109","27","2","1026.512","54.455","3039.449","2921.441"
"7","23","13","892","110","27","2","958.371","52.837","2861.445","2751.52"
"7","23","14","863","106","27","3","828.779","46.973","2546.032","2449.707"
"7","23","15","816","99","27","3","651.375","42.723","2022.793","1946.989"
"7","23","16","737","88","26","2","437.215","37.944","1336.951","1284.191"
"7","23","17","609","69","25","2","216.674","30.566","603.088","570.144"
"7","23","18","367","38","22","2","36.12","21.944","107.31","84.919"
"7","23","19","0","0","20","2","0","20","0","0"
"7","23","20","0","0","20","2","0","20","0","0"
"7","23","21","0","0","19","2","0","19","0","0"
"7","23","22","0","0","19","2","0","19","0","0"
"7","23","23","0","0","19","2","0","19","0","0"
"7","24","0","0","0","18","2","0","18","0","0"
"7","24","1","0","0","18","2","0","18","0","0"
"7","24","2","0","0","18","2","0","18","0","0"
"7","24","3","0","0","17","2","0","17","0","0"
"7","24","4","0","0","17","2","0","17","0","0"
"7","24","5","262","39","19","2","29.984","17.944","106.468","84.093"
"7","24","6","544","76","21","2","196.717","24.645","562.054","530.07"
"7","24","7","692","98","23","2","413.056","32.931","1290.138","1238.791"
"7","24","8","775","112","24","1","625.655","42.988","1937.923","1865.208"
"7","24","9","823","123","25","1","807.365","49.885","2441.581","2349.556"
"7","24","10","873","116","26","0","940.516","61.174","2681.299","2579.255"
"7","24","11","879","123","27","0","1007.887","64.601","2819.107","2711.062"
"7","24","12","23","330","27","0","351.856","45.655","1091.866","1046.281"
"7","24","13","598","295","27","1","879.508","52.726","2627.884","2528.118"
"7","24","14","798","139","27","1","812.549","52.878","2419.348","2328.224"
"7","24","15","747","128","27","1","634.658","47.739","1921.803","1849.667"
"7","24","16","236","205","26","1","311.343","36.722","987.077","944.389"
"7","24","17","341","105","25","2","183.167","29.277","547.954","516.297"
"7","24","18","264","46","23","2","40.5","22.976","128.182","105.393"
"7","24","19","0","0","22","2","0","22","0","0"
"7","24","20","0","0","21","2","0","21","0","0"
"7","24","21","0","0","20","2","0","20","0","0"
"7","24","22","0","0","19","2","0","19","0","0"
"7","24","23","0","0","19","2","0","19","0","0"
"7","25","0","0","0","18","2","0","18","0","0"
"7","25","1","0","0","18","2","0","18","0","0"
"7","25","2","0","0","17","2","0","17","0","0"
"7","25","3","0","0","17","2","0","17","0","0"
"7","25","4","0","0","17","2","0","17","0","0"
"7","25","5","337","34","19","2","26.173","17.839","92.978","70.859"
"7","25","6","609","64","21","2","199.399","24.704","557.193","525.322"
"7","25","7","744","81","24","1","419.712","36.045","1286.281","1235.05"
"7","25","8","816","94","26","1","633.534","45.178","1938.925","1866.174"
"7","25","9","855","106","27","1","812.254","51.948","2429.085","2337.568"
"7","25","10","867","119","28","1","937.924","56.932","2738.145","2633.647"
"7","25","11","864","131","28","1","1001.134","59.046","2890.042","2778.838"
"7","25","12","846","143","29","2","997.374","55.598","2934.758","2821.539"
"7","25","13","466","344","28","2","804.246","50.009","2438.415","2346.518"
"7","25","14","490","271","28","3","691.081","44.541","2152.252","2071.608"
"7","25","15","722","133","27","3","623.327","41.775","1947.067","1874.022"
"7","25","16","627","118","26","3","414.094","35.852","1286.344","1235.112"
"7","25","17","486","89","25","3","204.66","29.459","590.358","557.713"
"7","25","18","242","44","23","3","38.125","22.924","121.971","99.301"
"7","25","19","0","0","22","2","0","22","0","0"
"7","25","20","0","0","21","2","0","21","0","0"
